"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"PGY","PILOT ENERGY LIMITED","2006-04-20","Energy",10087806
"PH2","PURE HYDROGEN CORPORATION LIMITED","2013-03-12","Energy",116310186
"PHL","PROPELL HOLDINGS LIMITED","2021-04-14","Diversified Financials",6082571
"PHO","PHOSCO LTD","2009-12-17","Materials",32776811
"PIA","PENGANA INTERNATIONAL EQUITIES LIMITED","2004-03-19","Not Applic",273632788
"PIC","PERPETUAL EQUITY INVESTMENT COMPANY LIMITED","2014-12-18","Not Applic",453086949
"PIL","PEPPERMINT INNOVATION LIMITED","2008-05-29","Software & Services",29956284
"PIM","PINNACLE MINERALS LIMITED","2022-03-23","Materials",5638156
"PIQ","PROTEOMICS INTERNATIONAL LABORATORIES LTD","2015-04-16","Pharmaceuticals, Biotechnology & Life Sciences",106234404
"PKD","PARKD LTD","2017-12-06","Commercial & Professional Services",3406805
"PKO","PEAKO LIMITED","2009-12-02","Materials",5860628
"PL8","PLATO INCOME MAXIMISER LIMITED.","2017-05-05","Not Applic",695943478
"PLG","PEARL GULL IRON LIMITED","2021-09-20","Materials",6201727
"PLL","PIEDMONT LITHIUM INC.","1983-03-28","Materials",1209059452
"PLS","PILBARA MINERALS LIMITED","2007-09-19","Materials",7531390508
"PLT","PLENTI GROUP LIMITED","2020-09-23","Diversified Financials",144009387
"PLY","PLAYSIDE STUDIOS LIMITED","2020-12-17","Media & Entertainment",246982742
"PMC","PLATINUM CAPITAL LIMITED","1994-06-29","Not Applic",395328911
"PME","PRO MEDICUS LIMITED","2000-10-10","Health Care Equipment & Services",4355474983
"PMV","PREMIER INVESTMENTS LIMITED","1987-12-15","Retailing",3688638435
"PNC","PIONEER CREDIT LIMITED","2014-05-01","Diversified Financials",49544989
"PNI","PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED","2007-06-19","Diversified Financials",1632403229
"PNM","PACIFIC NICKEL MINES LIMITED","2002-11-26","Materials",24414827
"PNN","PEPINNINI MINERALS LIMITED","2005-04-15","Materials",33453345
"PNR","PANTORO LIMITED","1987-05-21","Materials",378005217
"PNT","PANTHER METALS LTD","2021-12-10","Materials",10651875
"PNV","POLYNOVO LIMITED","1998-11-26","Health Care Equipment & Services",711314647
"PNX","PNX METALS LIMITED","2008-02-12","Materials",22220289
"PO3","PURIFLOH LIMITED","2010-12-30","Utilities",14185574
"POD","PODIUM MINERALS LIMITED","2018-02-28","Materials",119508563
"POL","POLYMETALS RESOURCES LTD","2021-06-29","Materials",8341200
"POS","POSEIDON NICKEL LIMITED","1993-11-29","Materials",196093410
"POW","PROTEAN ENERGY LIMITED","2006-12-21","Capital Goods",5204904
"PPC","PEET LIMITED","2004-08-05","Real Estate",505049011
"PPE","PEOPLEIN LIMITED","2017-11-22","Commercial & Professional Services",323230265
"PPG","PRO-PAC PACKAGING LIMITED","2005-04-27","Materials",107876845
"PPH","PUSHPAY HOLDINGS LIMITED","2016-10-12","Software & Services",1351728698
"PPK","PPK GROUP LIMITED","1994-12-21","Capital Goods",289297309
"PPL","PUREPROFILE LTD","2015-07-29","Media & Entertainment",47601975
"PPM","PEPPER MONEY LIMITED","2021-05-25","Banks",848553597
"PPS","PRAEMIUM LIMITED","2006-05-11","Software & Services",286912284
